,crop,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),jan,feb,march,april,may,june,july,august,sept,oct,nov,dec
365,Rapeseed &Mustard,Patan, 2014-15,Rabi       ,26748.0,43564,1.63,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
366,Tobacco,Patan, 2014-15,Rabi       ,1165.0,1819,1.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.85
367,Wheat,Patan, 2014-15,Rabi       ,37115.0,106980,2.88,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
368,Bajra,Patan, 2014-15,Summer     ,8050.0,22290,2.77,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,Sesamum,Patan, 2014-15,Summer     ,7.0,3,0.43,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
370,Banana,Patan, 2014-15,Whole Year ,140.0,10323,73.74,1.1,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
371,Dry chillies,Patan, 2014-15,Whole Year ,225.0,222,0.99,0.52,0.8,0.8,1.05,1.05,1.05,0.78,0.0,0.0,0.0,0.0,0.0
372,Garlic,Patan, 2014-15,Whole Year ,5.0,29,5.8,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
373,Guar seed,Patan, 2014-15,Whole Year ,25555.0,19767,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
374,Potato,Patan, 2014-15,Whole Year ,841.0,21587,25.67,1.15,1.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
375,Arhar/Tur,Surendranagar, 2014-15,Kharif     ,15.0,16,1.07,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
376,Bajra,Surendranagar, 2014-15,Kharif     ,9077.0,18301,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
377,Castor seed,Surendranagar, 2014-15,Kharif     ,66900.0,107348,1.6,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
378,Cotton(lint),Surendranagar, 2014-15,Kharif     ,367402.0,1177786,3.21,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
379,Groundnut,Surendranagar, 2014-15,Kharif     ,6645.0,14040,2.11,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
380,Maize,Surendranagar, 2014-15,Kharif     ,15.0,19,1.27,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
381,Moong(Green Gram),Surendranagar, 2014-15,Kharif     ,3248.0,1843,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
382,Moth,Surendranagar, 2014-15,Kharif     ,20.0,9,0.45,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
383,Other Kharif pulses,Surendranagar, 2014-15,Kharif     ,110.0,41,0.37,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
384,Sesamum,Surendranagar, 2014-15,Kharif     ,27157.0,14659,0.54,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
385,Urad,Surendranagar, 2014-15,Kharif     ,185.0,130,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
386,Gram (channa),Surendranagar, 2014-15,Rabi       ,14226.0,14175,1.0,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
387,Maize,Surendranagar, 2014-15,Rabi       ,765.0,1473,1.93,1.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2
388,Onion,Surendranagar, 2014-15,Rabi       ,678.0,18902,27.88,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.77
389,Other  Rabi pulses,Surendranagar, 2014-15,Rabi       ,18.0,13,0.72,1.15,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
390,Rapeseed &Mustard,Surendranagar, 2014-15,Rabi       ,1716.0,3121,1.82,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
391,Wheat,Surendranagar, 2014-15,Rabi       ,37090.0,101560,2.74,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
392,Bajra,Surendranagar, 2014-15,Summer     ,1955.0,6101,3.12,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Groundnut,Surendranagar, 2014-15,Summer     ,255.0,469,1.84,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
394,Moong(Green Gram),Surendranagar, 2014-15,Summer     ,90.0,57,0.63,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Sesamum,Surendranagar, 2014-15,Summer     ,13576.0,6735,0.5,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
396,Dry chillies,Surendranagar, 2014-15,Whole Year ,660.0,667,1.01,0.52,0.8,0.8,1.05,1.05,1.05,0.78,0.0,0.0,0.0,0.0,0.0
397,Garlic,Surendranagar, 2014-15,Whole Year ,440.0,2573,5.85,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
398,Guar seed,Surendranagar, 2014-15,Whole Year ,19229.0,14874,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
399,Potato,Surendranagar, 2014-15,Whole Year ,60.0,1540,25.67,1.15,1.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
400,Arhar/Tur,Vadodara, 2014-15,Kharif     ,19215.0,18712,0.97,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
401,Bajra,Vadodara, 2014-15,Kharif     ,5500.0,9066,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
402,Castor seed,Vadodara, 2014-15,Kharif     ,28473.0,53230,1.87,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
403,Cotton(lint),Vadodara, 2014-15,Kharif     ,108653.0,380109,3.5,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
404,Maize,Vadodara, 2014-15,Kharif     ,1515.0,2442,1.61,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
405,Moong(Green Gram),Vadodara, 2014-15,Kharif     ,75.0,37,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
406,Moth,Vadodara, 2014-15,Kharif     ,35.0,15,0.43,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
407,Other Kharif pulses,Vadodara, 2014-15,Kharif     ,1410.0,655,0.46,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
408,Rice,Vadodara, 2014-15,Kharif     ,23137.0,40875,1.77,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.2,1.2,0.9,0.0
409,Sesamum,Vadodara, 2014-15,Kharif     ,125.0,72,0.58,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
410,Soyabean,Vadodara, 2014-15,Kharif     ,2684.0,2285,0.85,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.5,0.0,0.0
411,Tobacco,Vadodara, 2014-15,Kharif     ,1265.0,1661,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.84,0.44,0.0,0.0,0.0
412,Urad,Vadodara, 2014-15,Kharif     ,60.0,42,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
413,Gram (channa),Vadodara, 2014-15,Rabi       ,105.0,107,1.02,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
414,Jowar,Vadodara, 2014-15,Rabi       ,60.0,59,0.98,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1
415,Maize,Vadodara, 2014-15,Rabi       ,1000.0,2317,2.32,1.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2
416,Onion,Vadodara, 2014-15,Rabi       ,100.0,2788,27.88,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.77
417,Other  Rabi pulses,Vadodara, 2014-15,Rabi       ,12.0,9,0.75,1.15,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
418,Rapeseed &Mustard,Vadodara, 2014-15,Rabi       ,69.0,126,1.83,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
419,Tobacco,Vadodara, 2014-15,Rabi       ,260.0,341,1.31,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.85
420,Wheat,Vadodara, 2014-15,Rabi       ,24370.0,58361,2.39,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
421,Bajra,Vadodara, 2014-15,Summer     ,5221.0,10431,2.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Groundnut,Vadodara, 2014-15,Summer     ,118.0,187,1.58,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
423,Maize,Vadodara, 2014-15,Summer     ,30.0,66,2.2,0.0,0.0,0.0,0.0,0.0,0.36,1.06,0.95,0.0,0.0,0.0,0.0
424,Moong(Green Gram),Vadodara, 2014-15,Summer     ,255.0,163,0.64,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,Sesamum,Vadodara, 2014-15,Summer     ,48.0,23,0.48,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
426,Banana,Vadodara, 2014-15,Whole Year ,875.0,47949,54.8,1.1,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
427,Dry chillies,Vadodara, 2014-15,Whole Year ,6070.0,5150,0.85,0.52,0.8,0.8,1.05,1.05,1.05,0.78,0.0,0.0,0.0,0.0,0.0
428,Garlic,Vadodara, 2014-15,Whole Year ,35.0,205,5.86,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
429,Guar seed,Vadodara, 2014-15,Whole Year ,325.0,251,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
430,Potato,Vadodara, 2014-15,Whole Year ,220.0,5647,25.67,1.15,1.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
431,Sugarcane,Vadodara, 2014-15,Whole Year ,6490.0,395890,61.0,0.4,0.4,1.25,1.25,1.2,1.2,1.2,1.2,1.2,1.2,0.75,0.75
